id;data_criacao;marca;modelo;kms;data_peritagem;oficina;estado;autoriz_repar;orc_pecas;orc_mo_chapa;orc_mo_pintura;orc_mat_pintura;orc_mat_comp;imobilizado;data_reboque;ponto_situacao;agendamento_repar;tempo_repar;data_real_inicio_repar;data_real_fim_repar;dias_atraso_sem_fds;mao_obra_chapa;mao_obra_pintura;mo_horas_orc_pintura;mo_horas_orc_chapa
3647;02/10/2023;Citroen;C4;57434;04/10/2023;Carnaxide;Definitiva;09/10/2023;0;0;0;0;0;Não;;Concluído;26/10/2023;3;26/10/2023;31/10/2023;1;2,5;2;0;0
3536;18/09/2023;Peugeot;308;0;19/09/2023;Carnaxide;Definitiva;20/09/2023;0;0;0;0;0;Não;;Concluído;07/11/2023;4;07/11/2023;10/11/2023;0;4;5;0;0
635;22/04/2022;Fiat;Tipo;65844;31/03/2022;Carnaxide;Definitiva;22/04/2022;0;0;0;0;0;Não;;Concluído;27/04/2022;2;27/04/2022;29/04/2022;1;0;2;0;0
3766;17/10/2023;Nissan;Qashqai;0;17/10/2023;Queluz;Definitiva;23/10/2023;0;159,6;75,6;18;0;Não;;Concluído;16/11/2023;2;16/11/2023;17/11/2023;0;0;2;1,94;4,09
2675;05/05/2023;BMW;X5;0;05/05/2023;Queluz;Definitiva;08/05/2023;0;556,24;724,82;414,34;0;Não;;Concluído;08/05/2023;5;08/05/2023;15/05/2023;1;6;12;18,59;14,26
2588;18/04/2023;Mercedes-Benz;GLE (166);9979;18/04/2023;Queluz;Definitiva;18/04/2023;0;120;90,8;31,71;0;Não;;Concluído;09/05/2023;2;09/05/2023;10/05/2023;0;1,5;2;2,33;3,08
4127;12/12/2023;Peugeot;208;0;18/12/2023;Carnaxide;Definitiva;19/12/2023;0;195,24;130,32;91,03;0;Não;;Concluído;09/01/2024;3;09/01/2024;10/01/2024;0;2;2;3,34;5,01
4122;12/12/2023;Peugeot;308;0;18/12/2023;Carnaxide;Definitiva;19/12/2023;0;414,88;164;67;0;Não;;Concluído;16/01/2024;4;16/01/2024;17/01/2024;0;5;3,5;4,21;10,64
4077;05/12/2023;BMW;Serie 1;0;07/12/2023;Carnaxide;Definitiva;11/12/2023;0;122,03;84,93;59,59;0;Não;;Concluído;03/01/2024;3;03/01/2024;04/01/2024;0;1,5;1,5;2,18;3,13
4042;28/11/2023;Fiat;Tipo;0;04/12/2023;Queluz;Definitiva;05/12/2023;0;202,56;84,93;59,59;0;Não;;Concluído;28/12/2023;2;28/12/2023;29/12/2023;0;1,5;2;2,18;5,19
4028;27/11/2023;Toyota;Corolla;0;29/11/2023;Carnaxide;Definitiva;29/11/2023;0;253,81;130,32;91,03;0;Não;;Concluído;03/01/2024;3;03/01/2024;04/01/2024;0;2;2;3,34;6,51
3968;16/11/2023;Audi;Q3;0;20/11/2023;Queluz;Definitiva;20/11/2023;0;444,17;190,85;106,36;0;Não;;Concluído;13/12/2023;3;13/12/2023;14/12/2023;0;2,5;4;4,89;11,39
3617;27/09/2023;Mercedes-Benz;Classe A (177);41331;29/09/2023;Carnaxide;Definitiva;02/10/2023;0;175,71;130,32;91,03;0;Não;;Concluído;28/11/2023;3;28/11/2023;30/11/2023;0;1,5;2;3,34;4,51
3576;22/09/2023;Ford;Focus;0;28/09/2023;Carnaxide;Definitiva;28/09/2023;0;126,91;130,32;91,03;0;Não;;Concluído;10/10/2023;3;10/10/2023;10/10/2023;0;1,5;2;3,34;3,25
3523;15/09/2023;Renault;ZOE;35226;21/09/2023;Queluz;Definitiva;25/09/2023;0;184,29;175,27;120,09;0;Não;;Concluído;14/11/2023;3;14/11/2023;15/11/2023;0;3;4;4,49;4,73
3508;14/09/2023;Fiat;Tipo;20333;18/09/2023;Carnaxide;Definitiva;18/09/2023;0;112,26;119,1;44,27;0;Não;;Concluído;25/10/2023;3;25/10/2023;26/10/2023;0;1;2;3,05;2,88
3452;06/09/2023;Renault;Megane;186645;08/09/2023;Carnaxide;Definitiva;30/10/2023;0;351,43;202,56;101,41;0;Não;;Concluído;12/12/2023;4;12/12/2023;13/12/2023;0;4;4;5,19;9,01
3330;18/08/2023;Renault;Clio;4563;22/08/2023;Carnaxide;Definitiva;23/08/2023;0;19,52;52,23;17,59;0;Não;;Concluído;07/09/2023;2;07/09/2023;07/09/2023;0;0,2;0,5;1,34;0,5
3227;04/08/2023;Renault;ZOE;102662;22/08/2023;Carnaxide;Definitiva;14/09/2023;0;117,14;130,32;91,03;0;Não;;Concluído;14/09/2023;2;14/09/2023;15/09/2023;0;1,5;2;3,34;3
3235;07/08/2023;BMW;Serie 3;0;16/08/2023;Carnaxide;Definitiva;06/09/2023;0;561,32;490,54;323,74;28,47;Não;;Concluído;21/09/2023;3;21/09/2023;27/09/2023;2;3;3,5;12,58;14,39
3236;07/08/2023;BMW;Serie 3;0;16/08/2023;Carnaxide;Definitiva;06/09/2023;0;561,32;490,54;323,74;28,47;Não;;Concluído;21/09/2023;4;21/09/2023;27/09/2023;1;6;7;12,58;14,39
3220;03/08/2023;Peugeot;Partner;71602;03/08/2023;Carnaxide;Definitiva;04/08/2023;0;366,08;226,97;99,03;0;Não;;Concluído;30/08/2023;3;30/08/2023;31/08/2023;0;6,5;3,5;5,82;9,39
3052;12/07/2023;Ford;Focus;105585;19/07/2023;Queluz;Definitiva;20/07/2023;0;462,74;218,26;119,53;0;Não;;Concluído;16/08/2023;3;16/08/2023;18/08/2023;0;6;4;5,6;11,87
3058;12/07/2023;SEAT;Leon;85094;19/07/2023;Carnaxide;Definitiva;07/09/2023;0;380,72;275,29;158,51;0;Não;;Concluído;10/10/2023;4;10/10/2023;11/10/2023;0;3,5;4;7,06;9,76
3037;07/07/2023;Audi;A4;158721;07/07/2023;Carnaxide;Definitiva;12/07/2023;0;737,03;266,5;116,37;19,52;Não;;Concluído;08/08/2023;4;08/08/2023;10/08/2023;0;15,5;5,46;6,83;18,9
2947;23/06/2023;BMW;Serie 3;88392;30/06/2023;Carnaxide;Definitiva;30/06/2023;0;146,44;130,32;91,03;0;Não;;Concluído;20/07/2023;2;20/07/2023;21/07/2023;0;1,5;2;3,34;3,75
